"TrialNo","Filename","Level","Key","StartNote","HeardArr","HeardRange","ProbeNo","ProbeNote_inscale","ProbePrev","LowProbe","ProbeAcc","ProbeProb","ProbeProb_nostart","Last_Heard","Binom_StartNote_probeprob","Actual_StartNote_probeprob","Binom_LastHrd_probeprob","Actual_LastHrd_probeprob","Diff_LastHrd_Probe","ProbeNote_1","ProbeNote_1or5","AbsDiff_TrueIm_Probe","Direction_Same","Diff_LastHrd_TrueIm","TrueImagined_inscale","TrueIm_1or_5","guessing","discrimination","difficulty","inattention"
23,"1_3_1_1_0001_2_0",1,1,1,3,4,-3,-5,0,1,"0",0,0,-3,0.03125,0.228611111,0.24609375,0.22,0,0,1,1,0,1,-6,0,0.4,1.1284034825656,1.84900190700532,0.97
24,"1_3_1_1_0001_3_1",1,1,1,3,4,-2,-6,0,1,"1",0.25,0.4,-3,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,-6,0,0.4,1.1284034825656,-0.493979391601574,0.97
25,"1_3_1_1_0010_1_0",1,1,1,3,3,-4,-4,1,0,"0",0.0625,0.1,-1,0.00390625,0.158055556,0.043945313,0.114166667,3,0,0,2,1,1,-6,0,0.4,1.1284034825656,0.360292192309717,0.97
26,"1_3_1_1_0010_3_1",1,1,1,3,3,-2,-6,0,1,"1",0.25,0.4,-1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,-6,0,0.4,1.1284034825656,-0.354560139500318,0.97
27,"1_3_1_1_0100_3_1",1,1,1,3,2,-2,-6,0,1,"1",0.25,0.4,-1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,-6,0,0.4,1.1284034825656,-0.215140887399062,0.97
28,"1_3_1_1_0100_4_0",1,1,1,3,2,-1,-7,0,1,"0",0,0,-1,0.21875,0.326388889,0.24609375,0.22,0,0,0,1,0,1,-6,0,0.4,1.1284034825656,0.868876618549938,0.97
29,"1_3_1_1_0111_7_1",1,1,1,3,3,2,3,0,0,"1",0.25,0.4,1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,3,0,0.4,1.1284034825656,-0.354560139500318,0.97
30,"1_3_1_1_0111_9_0",1,1,1,3,3,4,5,1,0,"0",0.0625,0.1,1,0.00390625,0.158055556,0.043945313,0.114166667,3,0,1,2,1,1,3,0,0.4,1.1284034825656,0.360292192309717,0.97
31,"1_3_1_1_1000_1_0",1,1,1,3,3,-4,-4,1,0,"0",0.0625,0.1,-1,0.00390625,0.158055556,0.043945313,0.114166667,3,0,0,2,1,1,-6,0,0.4,1.1284034825656,0.360292192309717,0.97
32,"1_3_1_1_1000_3_1",1,1,1,3,3,-2,-6,0,1,"1",0.25,0.4,-1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,-6,0,0.4,1.1284034825656,-0.354560139500318,0.97
33,"1_3_1_1_1011_7_1",1,1,1,3,2,2,3,0,0,"1",0.25,0.4,1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,3,0,0.4,1.1284034825656,-0.215140887399062,0.97
34,"1_3_1_1_1011_9_0",1,1,1,3,2,4,5,1,0,"0",0.0625,0.1,1,0.00390625,0.158055556,0.043945313,0.114166667,3,0,1,2,1,1,3,0,0.4,1.1284034825656,-0.129770451917976,0.97
35,"1_3_1_1_1101_7_1",1,1,1,3,3,2,3,0,0,"1",0.25,0.4,1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,3,0,0.4,1.1284034825656,-0.354560139500318,0.97
36,"1_3_1_1_1101_9_0",1,1,1,3,3,4,5,1,0,"0",0.0625,0.1,1,0.00390625,0.158055556,0.043945313,0.114166667,3,0,1,2,1,1,3,0,0.4,1.1284034825656,0.360292192309717,0.97
37,"1_3_1_1_1110_7_1",1,1,1,3,4,2,3,0,0,"1",0.25,0.4,3,0.109375,0.286944444,0.1171875,0.368055556,1,0,0,0,1,1,3,0,0.4,1.1284034825656,-0.493979391601574,0.97
38,"1_3_1_1_1110_8_0",1,1,1,3,4,3,4,0,0,"0",0,0,3,0.03125,0.228611111,0.24609375,0.22,0,0,0,1,0,1,3,0,0.4,1.1284034825656,1.84900190700532,0.97
39,"1_3_1_1_1111_8_0",1,1,1,3,4,3,4,0,0,"0",0,0,3,0.03125,0.228611111,0.24609375,0.22,0,0,0,1,0,1,5,1,0.4,1.1284034825656,1.84900190700532,0.97
40,"1_3_1_1_1111_9_1",1,1,1,3,4,4,5,0,0,"1",0.0625,0.1,3,0.00390625,0.158055556,0.205078125,0.368055556,1,0,1,0,1,1,5,1,0.4,1.1284034825656,-0.493979391601574,0.97
41,"1_3_2_0_0000_1_1",1,2,0,3,4,-4,1,0,0,"1",0.0625,0.1,-3,0.00390625,0.158055556,0.205078125,0.368055556,1,1,1,0,1,1,1,1,0.4,1.1284034825656,-0.493979391601574,0.97
42,"1_3_2_0_0000_2_0",1,2,0,3,4,-3,2,0,0,"0",0,0,-3,0.03125,0.228611111,0.24609375,0.22,0,0,0,1,0,1,1,1,0.4,1.1284034825656,1.84900190700532,0.97
43,"1_3_2_0_0001_3_1",1,2,0,3,4,-2,3,0,0,"1",0.25,0.4,-3,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,3,0,0.4,1.1284034825656,-0.493979391601574,0.97
44,"1_3_2_0_0001_4_0",1,2,0,3,4,-1,4,0,0,"0",0,0,-3,0.21875,0.326388889,0.1171875,0.248611111,2,0,0,1,1,1,3,0,0.4,1.1284034825656,1.84323289850097,0.97
45,"1_3_2_0_0010_2_0",1,2,0,3,3,-3,2,1,0,"0",0,0,-1,0.03125,0.228611111,0.1171875,0.248611111,2,0,0,1,1,1,3,0,0.4,1.1284034825656,1.35317025427328,0.97
46,"1_3_2_0_0010_3_1",1,2,0,3,3,-2,3,0,0,"1",0.25,0.4,-1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,3,0,0.4,1.1284034825656,-0.354560139500318,0.97
47,"1_3_2_0_0100_2_0",1,2,0,3,2,-3,2,1,0,"0",0,0,-1,0.03125,0.228611111,0.1171875,0.248611111,2,0,0,1,1,1,3,0,0.4,1.1284034825656,0.863107610045587,0.97
48,"1_3_2_0_0100_3_1",1,2,0,3,2,-2,3,0,0,"1",0.25,0.4,-1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,3,0,0.4,1.1284034825656,-0.215140887399062,0.97
49,"1_3_2_0_0111_7_1",1,2,0,3,3,2,7,0,0,"1",0.25,0.4,1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,7,0,0.4,1.1284034825656,-0.354560139500318,0.97
50,"1_3_2_0_0111_8_0",1,2,0,3,3,3,8,1,0,"0",0,0,1,0.03125,0.228611111,0.1171875,0.248611111,2,1,1,1,1,1,7,0,0.4,1.1284034825656,1.35317025427328,0.97
51,"1_3_2_0_1000_1_0",1,2,0,3,3,-4,1,1,0,"0",0.0625,0.1,-1,0.00390625,0.158055556,0.043945313,0.114166667,3,1,1,2,1,1,3,0,0.4,1.1284034825656,0.360292192309717,0.97
52,"1_3_2_0_1000_3_1",1,2,0,3,3,-2,3,0,0,"1",0.25,0.4,-1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,3,0,0.4,1.1284034825656,-0.354560139500318,0.97
53,"1_3_2_0_1011_7_1",1,2,0,3,2,2,7,0,0,"1",0.25,0.4,1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,7,0,0.4,1.1284034825656,-0.215140887399062,0.97
54,"1_3_2_0_1011_9_0",1,2,0,3,2,4,9,1,0,"0",0.0625,0.1,1,0.00390625,0.158055556,0.043945313,0.114166667,3,0,0,2,1,1,7,0,0.4,1.1284034825656,-0.129770451917976,0.97
55,"1_3_2_0_1101_7_1",1,2,0,3,3,2,7,0,0,"1",0.25,0.4,1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,7,0,0.4,1.1284034825656,-0.354560139500318,0.97
56,"1_3_2_0_1101_8_0",1,2,0,3,3,3,8,1,0,"0",0,0,1,0.03125,0.228611111,0.1171875,0.248611111,2,1,1,1,1,1,7,0,0.4,1.1284034825656,1.35317025427328,0.97
57,"1_3_2_0_1110_7_1",1,2,0,3,4,2,7,0,0,"1",0.25,0.4,3,0.109375,0.286944444,0.1171875,0.368055556,1,0,0,0,1,1,7,0,0.4,1.1284034825656,-0.493979391601574,0.97
58,"1_3_2_0_1110_8_0",1,2,0,3,4,3,8,0,0,"0",0,0,3,0.03125,0.228611111,0.24609375,0.22,0,1,1,1,0,1,7,0,0.4,1.1284034825656,1.84900190700532,0.97
59,"1_3_2_0_1111_8_0",1,2,0,3,4,3,8,0,0,"0",0,0,3,0.03125,0.228611111,0.24609375,0.22,0,1,1,1,0,1,9,0,0.4,1.1284034825656,1.84900190700532,0.97
60,"1_3_2_0_1111_9_1",1,2,0,3,4,4,9,0,0,"1",0.0625,0.1,3,0.00390625,0.158055556,0.205078125,0.368055556,1,0,0,0,1,1,9,0,0.4,1.1284034825656,-0.493979391601574,0.97
